DISTRICT,CONSTITUENCY,SUBCOUNTY,PARISH,STATION_NAME,Females,F_18.24,F_25.30,F_31.34,F_35.39,F_40.44,F_45.49,F_50.54,F_55.59,F_60.64,F_65.up,Males,M_18.24,M_25.30,M_31.34,M_35.39,M_40.44,M_45.49,M_50.54,M_55.59,M_60.64,M_65.up,Original_Station_ID_2016
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,NABWATO COPE CENTRE,171,47,21,15,13,15,11,9,5,11,24,128,32,21,10,10,12,12,8,5,3,15,O-100-117-2-10-1
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,ST. TEREZA BWESA PRIMARY SCH.,272,60,32,23,42,28,14,19,21,8,25,277,67,42,24,25,27,25,12,13,15,27,O-100-117-2-10-2
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,NNUNDA C/U PRIMARY SCHOOL,294,64,37,14,43,30,19,26,16,20,25,254,78,50,13,16,17,24,16,16,4,20,O-100-117-2-10-3
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,KYATO MUSILM PRIMARY SCHOOL,244,52,37,18,31,22,14,26,6,9,29,245,70,38,29,23,19,14,16,7,11,18,O-100-117-2-10-4
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,KINONI PLAY GROUND,402,88,55,39,44,48,23,31,20,26,28,412,123,64,32,41,35,34,25,23,12,23,O-100-117-2-10-5
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,ST. BALIKUDDEMBE S.S.S,414,117,84,38,47,30,26,18,12,15,27,318,91,72,25,29,28,18,19,11,6,19,O-100-117-2-10-6
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BWESA,NNUNDA T.C,228,61,32,19,23,29,13,12,16,8,15,185,49,36,12,20,15,14,12,15,3,9,O-100-117-2-10-7
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIBISI,TTOWA PRIMARY SCHOOL,279,55,31,16,32,26,23,30,19,10,37,262,74,27,15,28,20,20,22,16,17,23,O-100-117-2-11-1
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIBISI,KABAALE TAUHID PRIMARY SCHOOL,350,76,67,32,39,26,31,13,26,13,27,300,83,41,23,41,22,14,29,11,9,27,O-100-117-2-11-2
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIBISI,KIBISI PRIMARY SCHOOL,338,88,50,31,31,38,22,25,17,11,25,332,82,49,24,37,34,32,16,11,6,41,O-100-117-2-11-3
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIBISI,SSALA GOOD HOPE PRIMARY SCHOOL,276,63,43,39,28,25,19,16,12,16,15,242,56,35,24,30,18,21,15,16,8,19,O-100-117-2-11-4
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,KIRIMANYAGA SDA CHURCH,230,57,29,16,29,28,20,16,10,3,22,208,35,41,14,29,21,17,15,10,10,16,O-100-117-2-12-1
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,KISITULA PRI. SCH,374,82,63,30,49,33,31,34,14,12,26,387,97,76,24,34,37,33,27,9,16,34,O-100-117-2-12-2
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,KABUYE T/CENTRE,189,39,30,13,22,15,11,19,14,13,13,163,37,27,14,23,14,9,18,8,2,11,O-100-117-2-12-3
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,YESU AKWAGALA CHURCH,177,35,27,12,25,14,12,17,9,7,19,157,36,23,16,17,18,9,15,10,3,10,O-100-117-2-12-4
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,KIRAGGA MUSLIM PRI. SCH,360,97,62,36,34,31,27,22,11,10,30,373,96,70,29,34,37,27,18,17,12,33,O-100-117-2-12-5
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,ST. JOSEPH PRI. SCH BIRONGO,447,108,70,36,44,43,36,41,21,15,33,375,105,70,34,42,34,25,23,14,10,18,O-100-117-2-12-6
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,KIRAGGA,MABALE,163,21,39,14,17,18,12,14,4,13,11,151,23,32,17,23,17,11,6,10,2,10,O-100-117-2-12-7
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,BUGOMOLA T/CENTRE A,271,68,37,33,25,25,15,24,15,8,21,273,73,49,21,30,28,20,13,15,6,18,O-100-117-2-9-1
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,BUGOMOLA T/CENTRE B,170,32,29,9,25,20,6,14,14,7,14,161,42,15,13,15,16,22,10,5,8,15,O-100-117-2-9-2
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,LWAMANYONYI CATHOLIC CHURCH,230,56,46,18,23,29,12,17,4,7,18,229,54,46,13,25,28,13,11,9,11,19,O-100-117-2-9-3
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,KALUMAGA - KITAWULUZI,263,62,39,25,33,18,15,14,18,19,20,256,59,44,26,30,22,22,8,14,6,25,O-100-117-2-9-4
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,KISAMBA - BUKIRI LCI,292,69,49,29,32,19,16,21,19,12,26,216,47,32,16,29,26,11,15,17,5,18,O-100-117-2-9-5
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,GLORY CHURCH KAGONGERO,202,49,34,14,31,14,7,14,17,5,17,231,65,37,13,29,25,15,17,4,7,19,O-100-117-2-9-6
 KALUNGU,KALUNGU EAST COUNTY,LWABENGE,BUGOMOLA,KIGAAJU PRI. SCH,245,56,28,18,34,19,26,25,13,11,15,265,68,31,22,37,20,23,11,10,17,26,O-100-117-2-9-7
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,KALIRO WARD,LUKAYA MUSLIM PRI. SCH.,381,104,101,42,50,28,22,11,9,6,8,315,87,81,39,32,26,21,11,7,5,6,O-100-117-3-15-1
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,KALIRO WARD,MADARASATI NOOR PRI. SCH.,369,93,97,42,43,30,19,18,10,7,10,276,84,54,38,26,25,17,13,9,3,7,O-100-117-3-15-2
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,KALIRO WARD,KAPERE PRI. SCH.,308,71,53,36,37,35,24,22,12,5,13,249,68,59,21,31,24,17,16,7,4,2,O-100-117-3-15-3
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,KALIRO WARD,MWOTA B PRI. SCH.,114,21,22,5,13,8,12,9,7,7,10,102,26,19,4,7,9,8,8,6,3,12,O-100-117-3-15-4
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,KALIRO WARD,KIRINYA,238,58,57,24,33,18,11,9,8,4,16,170,43,29,25,30,9,9,9,5,3,8,O-100-117-3-15-5
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,MAGEZI KIZUNGU WARD,ST. AGNES MAGEZI CELL (A-M),56,12,15,11,9,3,1,2,2,1,0,274,75,58,30,43,26,10,18,8,4,2,O-100-117-3-16-1
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,MAGEZI KIZUNGU WARD,MASTER CELL (A-M),89,21,26,15,11,4,5,2,2,1,2,242,64,55,28,36,21,16,10,5,4,3,O-100-117-3-16-2
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,MAGEZI KIZUNGU WARD,BRIGHT MODEL PRIMARY SCHOOL,226,55,36,23,28,23,17,15,6,7,16,184,52,28,22,22,25,12,11,2,6,4,O-100-117-3-16-3
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,MAGEZI KIZUNGU WARD,KAMUWUNGA,310,61,62,29,48,43,26,17,7,3,14,376,70,69,53,44,39,35,21,18,12,15,O-100-117-3-16-4
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,MAGEZI KIZUNGU WARD,MASTER CELL (N-Z),396,99,117,52,56,23,14,15,6,7,7,146,32,37,15,29,15,5,7,2,3,1,O-100-117-3-16-5
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,MAGEZI KIZUNGU WARD,ST. AGNES MAGEZI CELL (N-Z),348,84,101,50,42,29,16,15,4,1,6,122,32,37,22,9,4,8,4,3,2,1,O-100-117-3-16-6
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,BAJJA WARD,BAJJA PRIMARY SCHOOL,380,105,76,27,38,33,26,17,19,11,28,385,120,67,38,43,33,20,16,11,13,24,O-100-117-3-17-1
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,BAJJA WARD,BAJJA - KITAWULUZI,217,60,36,23,17,18,8,15,11,8,21,192,54,32,30,21,16,14,7,4,6,8,O-100-117-3-17-2
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,CENTRAL CELL- BBULAKATI MARKET,164,39,52,18,21,13,8,5,5,2,1,138,27,34,12,27,11,9,5,4,3,6,O-100-117-3-5-2
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,BULAKATI PLAYGROUND (A - M),138,39,26,18,17,16,7,7,3,3,2,589,147,149,79,71,56,39,21,14,8,5,O-100-117-3-5-3
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,KALUNGI C.O.U,359,85,60,26,41,30,34,21,21,17,24,295,69,55,28,30,26,22,15,11,12,27,O-100-117-3-5-4
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,BULAKATI PLAYGROUND (N - NAM),683,206,179,78,91,51,36,14,9,10,9,14,1,2,5,3,0,2,1,0,0,0,O-100-117-3-5-5
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,WAGWA MEMORIAL PLAYGROUND,227,75,44,18,24,17,12,15,5,5,12,190,47,34,20,21,24,12,7,5,5,15,O-100-117-3-5-6
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,BULAKATI PLAYGROUND (NAN - Z),240,70,52,30,25,22,8,16,9,5,3,297,83,74,34,38,24,19,9,9,6,1,O-100-117-3-5-7
 KALUNGU,KALUNGU EAST COUNTY,LUKAYA TOWN COUNCIL,CENTRAL WARD,AGIP CELL - ST. JUDE PRIMARY SCHOOL,241,43,66,36,31,19,14,13,10,3,6,214,40,46,29,32,20,19,14,5,6,3,O-100-117-3-5-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BULAWULA,MISENYI,228,42,25,18,29,22,18,25,11,9,29,237,54,39,14,27,17,23,14,17,6,26,O-100-118-1-1-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BULAWULA,ST. JOSEPHINE PRI. SCH-BULAWULA,206,47,24,17,32,19,17,15,10,6,19,214,63,36,22,13,13,15,24,6,7,15,O-100-118-1-1-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BULAWULA,LUKERERE C.O.U,246,57,30,22,26,22,18,10,17,14,30,242,55,36,23,25,22,24,17,11,9,20,O-100-118-1-1-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BULAWULA,ST. JOSEPH KYABAKUUMA P/SCH,180,42,16,9,16,15,19,14,14,15,20,169,47,20,10,11,19,9,13,9,13,18,O-100-118-1-1-4
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BULAWULA,SOWETO TRADING CENTRE,276,62,39,24,28,23,16,20,14,16,34,242,44,42,22,30,15,25,18,12,13,21,O-100-118-1-1-5
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KITAMBA,KALONGO PRI. SCH,174,27,25,12,21,19,14,11,14,11,20,154,43,21,19,12,18,10,8,7,5,11,O-100-118-1-13-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KITAMBA,KAGASA- KALINA,107,24,12,8,13,7,7,11,9,6,10,92,28,7,5,7,9,9,8,6,4,9,O-100-118-1-13-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KITAMBA,KAWULE PLAYGROUND,138,33,15,11,15,10,6,15,12,9,12,105,19,20,8,14,5,3,3,7,6,20,O-100-118-1-13-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KITAMBA,KITAMBA,261,45,43,22,26,28,17,19,10,17,34,241,71,27,23,27,17,16,21,7,12,20,O-100-118-1-13-4
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KIBISI,NAMAGOMA T/CENTRE,186,40,20,20,20,17,15,16,15,4,19,186,38,24,11,16,21,17,13,16,10,20,O-100-118-1-14-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KIBISI,KIBISI T/CENTRE,265,50,33,25,39,24,12,22,15,12,33,247,49,42,22,19,27,28,14,9,10,27,O-100-118-1-14-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KIBISI,KATEERA T/CENTRE,345,85,50,25,24,26,26,26,18,19,46,334,81,59,17,33,30,21,25,16,11,41,O-100-118-1-14-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BWASANDEKU,BWASANDEKU-KITAWULUZI,252,53,46,22,21,24,11,17,15,15,28,199,51,40,19,26,11,13,7,6,5,21,O-100-118-1-2-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BWASANDEKU,KITABYAMA CATHOLIC CHURCH,288,72,32,24,23,27,21,21,25,8,35,262,79,34,14,27,27,16,16,10,14,25,O-100-118-1-2-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BWASANDEKU,KYATO PRIMARY SCHOOL,299,46,39,19,30,33,18,32,14,15,53,238,54,33,22,24,21,15,23,13,9,24,O-100-118-1-2-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,BWASANDEKU,KINOGOLA CATHOLIC CHURCH,441,75,64,33,46,37,43,40,34,16,53,396,91,53,35,39,38,30,34,29,16,31,O-100-118-1-2-4
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KALIIRO,KALIIRO-KITAWULUZI,398,80,84,28,50,23,29,18,18,24,44,349,86,57,35,39,26,30,26,10,9,31,O-100-118-1-3-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KALIIRO,BYANA C.O.U,168,29,19,7,13,18,16,13,12,12,29,146,27,26,13,14,8,13,13,6,6,20,O-100-118-1-3-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KALIIRO,KYAMUSOKE GROWERS SOCIETY,352,60,43,25,35,37,36,17,36,20,43,356,71,58,26,34,32,38,22,27,14,34,O-100-118-1-3-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KALIIRO,KYAMUSANSALA CATHOLIC CHURCH,159,27,25,12,25,17,8,10,10,8,17,136,26,21,18,10,17,9,7,5,9,14,O-100-118-1-3-4
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KASANJE,KIROWOOZA PRIMARY SCHOOL,316,83,52,31,27,24,20,22,12,17,28,282,76,46,22,28,25,15,21,14,12,23,O-100-118-1-5-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KASANJE,BUTAWAATA T/CENTRE,278,52,37,31,25,21,24,19,18,19,32,261,57,43,28,27,24,19,18,12,10,23,O-100-118-1-5-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KASANJE,KIREETERWA T/CENTRE,331,51,53,24,35,28,19,22,26,23,50,297,54,45,28,32,26,20,18,27,12,35,O-100-118-1-5-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,KASANJE,ST. EMMA NURSERY SCHOOL - KIGO,277,53,43,27,35,20,21,22,11,17,28,252,76,30,22,28,21,18,16,11,7,23,O-100-118-1-5-4
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,NABUTONGWA,NABUTONGWA CATHOLIC CHURCH,184,30,31,15,15,11,16,20,14,11,21,169,47,23,12,18,10,11,10,11,8,19,O-100-118-1-6-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,NABUTONGWA,NABUTONGWA C.O.U,326,68,44,31,35,26,15,23,18,25,41,306,65,52,26,24,26,22,21,21,16,33,O-100-118-1-6-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,NABUTONGWA,KALOKERO PRIMARY SCHOOL,196,48,25,14,24,19,13,10,5,13,25,143,38,18,17,12,7,12,9,9,7,14,O-100-118-1-6-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,NTALE,KABUNGO PRIMARY SCHOOL,439,83,65,37,44,40,32,37,24,17,60,364,76,63,27,40,29,24,37,16,14,38,O-100-118-1-7-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,NTALE,KITEMBO PRIMARY SCHOOL,463,83,78,42,46,32,28,31,31,22,70,397,97,70,18,49,38,33,28,22,11,31,O-100-118-1-7-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,VILLA-MARIA,VILLA-MARIA (A - M) - PLAY GROUND,85,17,16,5,7,6,10,2,3,4,15,187,49,35,23,18,19,8,12,7,3,13,O-100-118-1-8-1
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,VILLA-MARIA,KATIGONDO SEMINARY,68,14,15,5,5,3,4,5,4,5,8,84,19,9,9,5,7,8,10,8,2,7,O-100-118-1-8-2
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,VILLA-MARIA,BUKALASA PLAYGROUND,229,49,45,16,17,20,21,9,10,11,31,217,54,28,20,20,19,19,11,12,8,26,O-100-118-1-8-3
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,VILLA-MARIA,BBAALA PLAYGROUND,291,45,44,20,39,25,27,31,13,10,37,289,88,39,19,26,22,24,20,13,14,24,O-100-118-1-8-4
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,VILLA-MARIA,KAKUNYU TRADING CENTRE,134,26,19,11,19,15,12,6,6,4,16,110,27,10,10,11,15,10,5,7,3,12,O-100-118-1-8-5
 KALUNGU,KALUNGU WEST COUNTY,KALUNGU,VILLA-MARIA,VILLA-MARIA (N - Z) - CATHOLIC CHURCH,447,95,59,35,30,30,17,17,26,15,123,89,18,19,3,12,13,6,5,2,3,8,O-100-118-1-8-6
 KALUNGU,KALUNGU WEST COUNTY,KYAMULIBWA,KIGASA,KIGASA - KITAWULUZI,378,104,64,35,32,25,19,25,23,21,30,375,124,65,20,34,26,32,16,20,9,29,O-100-118-2-10-1
 KALUNGU,KALUNGU WEST COUNTY,KYAMULIBWA,KIGASA,KITULIKIZI PRIMARY SCHOOL,309,76,46,33,30,22,24,24,18,10,26,275,78,40,24,22,27,25,23,12,15,9,O-100-118-2-10-2
 KALUNGU,KALUNGU WEST COUNTY,KYAMULIBWA,KIGASA,LWANNUME CATHOLIC CHURCH,241,54,40,32,17,23,21,9,11,9,25,224,62,37,20,29,16,20,15,6,5,14,O-100-118-2-10-3
