Dist_no_2016,Dist_name_2016,Const_no_2016,Const_name_2016,Sbty_no_2016,Sbty_name_2016,Par_no_2016,Par_name_2016,Stn_no_2016,Station_string_2016,Reg.Voters,A.Bwanika,A.Mbabazi,B.Venansius,B.B.Biraaro,K.Besigye.K,J.Mabirizi,M.F.K.Waluube,Y.K.Museveni,T.Votes,V.Votes,Inv.Votes,NON_REP,Original_Station_ID_2016
1,APAC,2,KWANIA COUNTY,1,ADUKU,25,APIRE,2,ANGOLENYANG,855,9,1,4,0,204,5,3,316,599,542,57,0,O-1-2-1-25-2
1,APAC,2,KWANIA COUNTY,1,ADUKU,25,APIRE,3,ACUT,734,4,6,6,1,234,2,2,255,517,510,7,0,O-1-2-1-25-3
1,APAC,2,KWANIA COUNTY,1,ADUKU,25,APIRE,4,APIRE P.7 SCHOOL B,493,2,3,8,0,118,2,3,227,375,363,12,0,O-1-2-1-25-4
1,APAC,2,KWANIA COUNTY,2,CAWENTE,16,ATONGTIDI,1,CHAWENTE PRIMARY SCHOOL,465,4,6,1,1,94,0,1,209,335,316,19,0,O-1-2-2-16-1
1,APAC,2,KWANIA COUNTY,2,CAWENTE,16,ATONGTIDI,2,AMWANGA P.7 SCHOOL,890,4,5,7,1,163,1,3,423,625,607,18,0,O-1-2-2-16-2
1,APAC,2,KWANIA COUNTY,2,CAWENTE,16,ATONGTIDI,3,CHAWENTE  S S,523,5,2,4,1,99,2,2,243,361,358,3,0,O-1-2-2-16-3
1,APAC,2,KWANIA COUNTY,2,CAWENTE,16,ATONGTIDI,5,ACAMANUMU CORNER DAIRY,347,5,0,0,1,77,1,3,171,268,258,10,0,O-1-2-2-16-5
1,APAC,2,KWANIA COUNTY,2,CAWENTE,17,ACENLWORO,1,GOI PRIMARY SCHOOL,668,15,8,5,4,144,2,3,193,450,374,76,0,O-1-2-2-17-1
1,APAC,2,KWANIA COUNTY,2,CAWENTE,17,ACENLWORO,2,APWORI HEALTH CENTRE III,733,14,8,6,1,130,3,3,302,503,467,36,0,O-1-2-2-17-2
1,APAC,2,KWANIA COUNTY,2,CAWENTE,17,ACENLWORO,3,WIGWENG B NURSERY SCHOOL,394,2,4,2,0,66,0,2,202,291,278,13,0,O-1-2-2-17-3
1,APAC,2,KWANIA COUNTY,2,CAWENTE,17,ACENLWORO,4,BAR ORYANG CHURCH OF UGANDA,561,2,1,1,0,94,2,1,291,413,392,21,0,O-1-2-2-17-4
1,APAC,2,KWANIA COUNTY,2,CAWENTE,18,ATULE,1,BODA P.7 SCHOOL,838,11,6,10,4,344,3,4,156,563,538,25,0,O-1-2-2-18-1
1,APAC,2,KWANIA COUNTY,2,CAWENTE,18,ATULE,2,ABAPIRI P 7 SCHOOL,890,7,9,4,3,185,4,6,347,576,565,11,0,O-1-2-2-18-2
1,APAC,2,KWANIA COUNTY,2,CAWENTE,18,ATULE,3,ATULE P.7 SCHOOL,396,4,3,1,2,91,1,3,149,260,254,6,0,O-1-2-2-18-3
1,APAC,2,KWANIA COUNTY,2,CAWENTE,19,ALIDO,1,CHAWENTE SUB-COUNTY HQRTS,584,5,5,2,1,132,0,2,254,425,401,24,0,O-1-2-2-19-1
1,APAC,2,KWANIA COUNTY,2,CAWENTE,19,ALIDO,2,ABOLI MARKET,843,7,13,5,3,206,2,1,271,547,508,39,0,O-1-2-2-19-2
1,APAC,2,KWANIA COUNTY,2,CAWENTE,19,ALIDO,3,ALAKET PRIMARY SCHOOL,494,1,7,0,2,133,0,1,212,362,356,6,0,O-1-2-2-19-3
1,APAC,2,KWANIA COUNTY,2,CAWENTE,19,ALIDO,4,ALIDO,345,0,1,0,0,81,0,2,146,233,230,3,0,O-1-2-2-19-4
1,APAC,2,KWANIA COUNTY,2,CAWENTE,28,AJAR,1,APOLIKA PRIMARY SCHOOL,597,5,7,9,1,170,3,4,209,435,408,27,0,O-1-2-2-28-1
1,APAC,2,KWANIA COUNTY,2,CAWENTE,28,AJAR,2,BLUE CORNER NURSERY SCHOOL,703,6,12,6,3,171,2,2,286,514,488,26,0,O-1-2-2-28-2
1,APAC,2,KWANIA COUNTY,2,CAWENTE,28,AJAR,3,PONGA MARKET,510,12,8,3,1,124,3,1,161,328,313,15,0,O-1-2-2-28-3
1,APAC,2,KWANIA COUNTY,2,CAWENTE,28,AJAR,4,OBOLOCANI CHURCH OF UGANDA,325,3,4,0,2,79,1,3,117,213,209,4,0,O-1-2-2-28-4
1,APAC,2,KWANIA COUNTY,2,CAWENTE,34,IWAL,1,AYEI CHURCH,746,10,16,8,6,128,3,3,344,535,518,17,0,O-1-2-2-34-1
1,APAC,2,KWANIA COUNTY,2,CAWENTE,34,IWAL,2,AGOLOWELO P/S,749,9,12,8,6,178,5,3,287,526,508,18,0,O-1-2-2-34-2
1,APAC,2,KWANIA COUNTY,2,CAWENTE,34,IWAL,3,ADWONGOWIRI CHURCH,383,5,2,1,1,58,1,4,185,267,257,10,0,O-1-2-2-34-3
1,APAC,2,KWANIA COUNTY,3,INOMO,20,BANYA,1,AKOREMOR P.7 SCHOOL,743,7,2,3,2,281,10,2,209,527,516,11,0,O-1-2-3-20-1
1,APAC,2,KWANIA COUNTY,3,INOMO,20,BANYA,2,AKUTOABWOLE,857,11,2,7,4,305,5,6,237,599,577,22,0,O-1-2-3-20-2
1,APAC,2,KWANIA COUNTY,3,INOMO,21,AGWICIRI,1,ALERO,815,6,15,6,3,242,4,2,252,565,530,35,0,O-1-2-3-21-1
1,APAC,2,KWANIA COUNTY,3,INOMO,21,AGWICIRI,2,APUMI,867,5,5,7,2,206,1,3,291,537,520,17,0,O-1-2-3-21-2
1,APAC,2,KWANIA COUNTY,3,INOMO,21,AGWICIRI,3,ANYWAL,505,2,1,1,0,244,0,0,80,356,328,28,0,O-1-2-3-21-3
1,APAC,2,KWANIA COUNTY,3,INOMO,21,AGWICIRI,4,ACOWERE,340,4,3,1,0,105,1,1,107,239,222,17,0,O-1-2-3-21-4
1,APAC,2,KWANIA COUNTY,3,INOMO,22,ABEDMOT,1,WII-GWENG,831,4,22,3,1,232,3,1,310,597,576,21,0,O-1-2-3-22-1
1,APAC,2,KWANIA COUNTY,3,INOMO,22,ABEDMOT,2,AMAMBALE,846,1,1,1,0,124,2,2,385,522,516,6,0,O-1-2-3-22-2
1,APAC,2,KWANIA COUNTY,3,INOMO,22,ABEDMOT,3,TIMAKICA MARKET,438,4,0,3,0,122,0,1,169,319,299,20,0,O-1-2-3-22-3
1,APAC,2,KWANIA COUNTY,3,INOMO,23,AJOK,1,AGONGA,806,7,10,6,2,192,3,2,219,500,441,59,0,O-1-2-3-23-1
1,APAC,2,KWANIA COUNTY,3,INOMO,23,AJOK,2,LWALA,519,6,3,3,0,112,1,0,226,374,351,23,0,O-1-2-3-23-2
1,APAC,2,KWANIA COUNTY,3,INOMO,23,AJOK,3,BARO-POK,715,5,6,3,2,207,2,2,244,491,471,20,0,O-1-2-3-23-3
1,APAC,2,KWANIA COUNTY,3,INOMO,23,AJOK,4,ST. JANAN LOUM C.O.U,428,4,2,2,1,98,2,5,166,285,280,5,0,O-1-2-3-23-4
1,APAC,2,KWANIA COUNTY,3,INOMO,23,AJOK,5,FARM,535,2,5,1,2,121,4,0,212,367,347,20,0,O-1-2-3-23-5
1,APAC,2,KWANIA COUNTY,3,INOMO,24,INOMO,1,APIREMIT,795,3,7,5,2,147,1,3,298,501,466,35,0,O-1-2-3-24-1
1,APAC,2,KWANIA COUNTY,3,INOMO,24,INOMO,2,BARLWALA,832,4,11,5,0,276,2,3,263,577,564,13,0,O-1-2-3-24-2
1,APAC,2,KWANIA COUNTY,3,INOMO,24,INOMO,3,BAROKANGO,452,3,7,1,0,123,1,0,122,280,257,23,0,O-1-2-3-24-3
1,APAC,2,KWANIA COUNTY,3,INOMO,29,ALUKA,1,ALIKINGEL,738,3,7,6,1,226,3,1,233,504,480,24,0,O-1-2-3-29-1
1,APAC,2,KWANIA COUNTY,3,INOMO,29,ALUKA,2,ALIK P.7 SCHOOL A,448,3,4,2,0,123,0,1,153,294,286,8,0,O-1-2-3-29-2
1,APAC,2,KWANIA COUNTY,3,INOMO,29,ALUKA,3,ALAM,411,3,7,3,0,113,0,2,148,299,276,23,0,O-1-2-3-29-3
1,APAC,2,KWANIA COUNTY,3,INOMO,29,ALUKA,4,ALIK P.7 SCHOOL B,540,6,10,3,0,116,3,2,190,338,330,8,0,O-1-2-3-29-4
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,9,OWINY,1,OWINY,859,4,5,3,1,233,1,2,375,641,624,17,0,O-1-2-4-9-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,9,OWINY,2,IGOTI/ACULAWIC,579,5,4,1,2,204,4,1,196,440,417,23,0,O-1-2-4-9-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,9,OWINY,3,ACWAO,297,5,6,2,0,103,1,0,113,234,230,4,0,O-1-2-4-9-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,9,OWINY,4,OBALONGWEN,270,1,3,0,0,109,0,0,90,205,203,2,0,O-1-2-4-9-4
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,10,AYABI,1,AYABI TRADING CENTRE A,410,1,2,0,0,92,1,1,197,302,294,8,0,O-1-2-4-10-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,10,AYABI,2,AYABI P.7 SCHOOL,815,1,4,2,0,239,0,2,320,597,568,29,0,O-1-2-4-10-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,10,AYABI,3,AYABI TRADING CENTRE B,533,1,2,0,0,180,2,0,218,408,403,5,0,O-1-2-4-10-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,11,AORNGA,2,NAMBIESO PRIMARY SCHOOL,774,3,1,1,1,190,0,0,336,550,532,18,0,O-1-2-4-11-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,11,AORNGA,3,OKWOR P.7 SCHOOL,671,4,3,5,1,90,2,1,307,427,413,14,0,O-1-2-4-11-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,11,AORNGA,4,EGWOR,627,3,1,0,0,89,3,0,300,423,396,27,0,O-1-2-4-11-4
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,12,ANWANGI,1,ORIYE A,808,8,5,3,1,159,0,2,305,534,483,51,0,O-1-2-4-12-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,12,ANWANGI,2,EMINA,825,6,7,5,0,132,2,2,390,553,544,9,0,O-1-2-4-12-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,12,ANWANGI,3,ANGEOKOMA,256,2,2,0,0,40,1,0,114,161,159,2,0,O-1-2-4-12-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,12,ANWANGI,4,AYAT,609,6,7,4,2,80,0,0,322,428,421,7,0,O-1-2-4-12-4
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,12,ANWANGI,5,TEILIGO,462,2,2,1,2,83,0,0,245,340,335,5,0,O-1-2-4-12-5
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,13,ABULI,1,ODALOWANG/OMWONO,673,8,8,1,1,182,2,0,251,466,453,13,0,O-1-2-4-13-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,13,ABULI,2,ABULI PRIMARY SCHOOL,598,2,6,1,1,182,1,2,201,401,396,5,0,O-1-2-4-13-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,13,ABULI,3,OJOK BER IDWOGO,345,0,3,1,2,93,1,0,138,242,238,4,0,O-1-2-4-13-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,13,ABULI,4,ANGUKAI,334,1,1,2,1,111,1,1,112,235,230,5,0,O-1-2-4-13-4
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,14,BUNG,1,OKIK PRIMARY SCHOOL,792,6,0,5,1,140,1,1,334,488,488,0,0,O-1-2-4-14-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,14,BUNG,2,AYOMLWOR,799,6,15,7,3,183,5,1,348,605,568,37,0,O-1-2-4-14-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,14,BUNG,3,BAR BUNG,651,3,5,7,1,147,2,1,231,419,397,22,0,O-1-2-4-14-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,15,ACABA,1,AGENGI A,547,1,3,2,1,74,0,1,338,432,420,12,0,O-1-2-4-15-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,15,ACABA,2,OKELKUC,826,1,5,4,0,153,0,2,337,513,502,11,0,O-1-2-4-15-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,15,ACABA,3,AGWEI T.C,676,5,3,2,1,159,1,0,282,472,453,19,0,O-1-2-4-15-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,27,ETEKIBER,1,ABURO-KEC,839,8,10,6,1,154,6,0,309,558,494,64,0,O-1-2-4-27-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,27,ETEKIBER,2,ODYEDO,622,2,5,2,0,136,0,0,257,430,402,28,0,O-1-2-4-27-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,27,ETEKIBER,3,ETEKIBER,705,4,8,6,1,132,4,1,292,479,448,31,0,O-1-2-4-27-3
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,32,PUNUATAR,1,APIIBOR PRIMARY SCHOOL,689,2,3,4,2,218,1,0,187,443,417,26,0,O-1-2-4-32-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,32,PUNUATAR,2,WIGWENG,364,1,2,0,0,126,2,1,141,282,273,9,0,O-1-2-4-32-2
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,33,OGWIL,1,OGWIL P.7 SCHOOL,498,4,5,5,1,173,1,1,177,384,367,17,0,O-1-2-4-33-1
1,APAC,2,KWANIA COUNTY,4,NAMBIESO,33,OGWIL,2,AGWENG,485,1,0,1,0,160,1,0,198,365,361,4,0,O-1-2-4-33-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,3,AKALI,1,ALEL,564,8,5,3,3,150,4,2,219,430,394,36,0,O-1-2-5-3-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,3,AKALI,2,TELELA P.7 SCHOOL,756,1,2,1,2,231,0,3,282,534,522,12,0,O-1-2-5-3-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,3,AKALI,4,OLOK MARKET,486,1,2,0,1,143,1,0,197,387,345,42,0,O-1-2-5-3-4
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,4,ABWONG,2,ABWONG  P.7 SCHOOL,570,3,7,4,2,146,5,1,224,417,392,25,0,O-1-2-5-4-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,4,ABWONG,4,TEILWA,773,0,3,3,1,125,3,1,396,555,532,23,0,O-1-2-5-4-4
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,5,ACUNGI,1,ACOININO CATHOLIC CHURCH,453,2,4,3,0,98,2,2,168,294,279,15,0,O-1-2-5-5-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,5,ACUNGI,2,ABONGOMOLA H/C III,730,11,7,1,0,152,3,3,296,496,473,23,0,O-1-2-5-5-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,5,ACUNGI,3,ACUNGI P.7 SCHOOL,317,4,3,0,0,65,0,0,140,216,212,4,0,O-1-2-5-5-3
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,5,ACUNGI,4,ABONGOMOLA,878,4,4,5,3,176,5,3,375,598,575,23,0,O-1-2-5-5-4
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,6,ABANY,1,ANGULE ST. JOHN,275,6,6,3,0,58,1,0,123,201,197,4,0,O-1-2-5-6-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,6,ABANY,2,AWEI,759,0,0,0,0,0,0,0,0,0,0,0,1,O-1-2-5-6-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,6,ABANY,3,ABANY MARKET,869,8,4,6,5,163,0,3,422,630,611,19,0,O-1-2-5-6-3
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,26,AMORIGOGA,1,AMORIGOGA P.7 SCHOOL,770,15,9,4,1,191,5,6,279,518,510,8,0,O-1-2-5-26-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,26,AMORIGOGA,2,ACOININO P 7 SCHOOL,503,3,5,9,4,105,3,3,217,366,349,17,0,O-1-2-5-26-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,26,AMORIGOGA,3,TEYAO,490,4,4,1,2,168,1,3,160,358,343,15,0,O-1-2-5-26-3
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,26,AMORIGOGA,4,OWERA MARKET,488,2,5,4,2,137,2,0,209,374,361,13,0,O-1-2-5-26-4
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,26,AMORIGOGA,5,ABEDOBER,453,8,13,2,3,168,3,3,147,360,347,13,0,O-1-2-5-26-5
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,35,AGWA,1,APIDYANG B,252,5,3,0,0,44,1,2,107,180,162,18,0,O-1-2-5-35-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,35,AGWA,2,OLIO PAG CHURCH,419,3,11,3,3,79,0,2,182,313,283,30,0,O-1-2-5-35-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,35,AGWA,3,AGWA P.7 SCHOOL,866,4,9,4,1,144,4,4,380,580,550,30,0,O-1-2-5-35-3
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,36,ADEROLONGO,1,ADELORONGO P.7 SCHOOL,599,3,4,4,1,90,1,4,292,416,399,17,0,O-1-2-5-36-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,36,ADEROLONGO,2,APOROTUKU P7 SCHOOL,550,11,12,2,1,96,14,8,216,397,360,37,0,O-1-2-5-36-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,37,TEIORO,1,TEI-ORO,658,7,2,4,2,133,4,1,273,445,426,19,0,O-1-2-5-37-1
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,37,TEIORO,2,ONYONG,404,1,2,4,1,62,0,1,177,292,248,44,0,O-1-2-5-37-2
1,APAC,2,KWANIA COUNTY,5,ABONGOMOLA,37,TEIORO,3,APARI MARKET,322,3,2,2,1,71,0,3,112,206,194,12,0,O-1-2-5-37-3
1,APAC,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,30,TEDUKA WARD,1,ADUKU U.C.C.,739,1,1,2,0,234,0,1,224,490,463,27,0,O-1-2-6-30-1
1,APAC,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,30,TEDUKA WARD,2,OT-OGOLE,587,3,2,1,0,148,1,2,275,443,432,11,0,O-1-2-6-30-2
1,APAC,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,30,TEDUKA WARD,3,ADYEDA TRADING CENTRE,464,5,3,2,2,119,3,1,164,329,299,30,0,O-1-2-6-30-3
1,APAC,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,30,TEDUKA WARD,4,ADUKU S.S.S.,402,1,1,1,0,131,1,1,150,292,286,6,0,O-1-2-6-30-4
1,APAC,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,31,IKWERA WARD,1,IKWERA,657,2,1,2,0,220,0,3,200,437,428,9,0,O-1-2-6-31-1
1,APAC,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,31,IKWERA WARD,2,AKAIDEBE,497,2,2,6,0,151,2,1,164,335,328,7,0,O-1-2-6-31-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,1,AYAGO,1,AYUMI P.7 SCHOOL,579,3,4,5,1,206,1,1,182,429,403,26,0,O-1-3-1-1-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,1,AYAGO,2,ABONGOKONGO P.7 SCHOOL,272,0,1,2,0,44,0,0,168,219,215,4,0,O-1-3-1-1-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,1,AYAGO,3,AYAGO  P  7  SCHOOL,875,7,7,4,2,143,4,2,416,609,585,24,0,O-1-3-1-1-3
1,APAC,3,MARUZI COUNTY,1,AKOKORO,1,AYAGO,4,AYENG,262,1,2,3,0,39,0,0,157,205,202,3,0,O-1-3-1-1-4
1,APAC,3,MARUZI COUNTY,1,AKOKORO,2,APOI,1,ONYANY P.7 SCHOOL,508,6,6,6,2,126,0,1,184,354,331,23,0,O-1-3-1-2-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,2,APOI,4,APALAMIO,263,2,0,4,1,72,1,1,73,168,154,14,0,O-1-3-1-2-4
1,APAC,3,MARUZI COUNTY,1,AKOKORO,2,APOI,5,APOI P.7 SCHOOL,878,4,9,11,3,239,3,2,269,579,540,39,0,O-1-3-1-2-5
1,APAC,3,MARUZI COUNTY,1,AKOKORO,3,AKOKORO,1,ALUGA P.7 SCHOOL,849,6,4,12,2,167,1,5,398,615,595,20,0,O-1-3-1-3-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,3,AKOKORO,2,AKOKORO S.S.S.,884,9,10,10,0,237,1,7,287,589,561,28,0,O-1-3-1-3-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,4,AWILA,1,AWILA P.7 SCHOOL,605,6,5,3,1,123,1,2,265,417,406,11,0,O-1-3-1-4-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,4,AWILA,2,ATEK CENTRAL MARKET,846,13,3,11,1,279,5,2,247,591,561,30,0,O-1-3-1-4-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,4,AWILA,3,AWILA CATHOLIC CHURCH,337,4,2,3,0,69,0,1,125,214,204,10,0,O-1-3-1-4-3
1,APAC,3,MARUZI COUNTY,1,AKOKORO,4,AWILA,4,IDEP P7 SCHOOL,329,2,1,4,0,104,1,0,118,239,230,9,0,O-1-3-1-4-4
1,APAC,3,MARUZI COUNTY,1,AKOKORO,5,AYEOLYEC,1,KWIBALE P.7 SCHOOL,769,5,4,8,7,306,1,4,198,548,533,15,0,O-1-3-1-5-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,5,AYEOLYEC,2,AYEI A,536,1,6,6,1,142,0,2,128,326,286,40,0,O-1-3-1-5-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,5,AYEOLYEC,3,PABBO,139,1,0,1,0,36,0,1,34,86,73,13,0,O-1-3-1-5-3
1,APAC,3,MARUZI COUNTY,1,AKOKORO,5,AYEOLYEC,5,AYEI B,328,2,4,5,0,96,1,1,78,211,187,24,0,O-1-3-1-5-5
1,APAC,3,MARUZI COUNTY,1,AKOKORO,5,AYEOLYEC,6,KWIBALE MARKET,877,2,11,6,5,154,1,1,252,490,432,58,0,O-1-3-1-5-6
1,APAC,3,MARUZI COUNTY,1,AKOKORO,6,KUNGU,1,KUNGU P.7 SCHOOL A,504,4,4,12,0,118,0,0,187,338,325,13,0,O-1-3-1-6-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,6,KUNGU,2,ACHOLI INN,437,3,5,2,1,65,1,1,155,244,233,11,0,O-1-3-1-6-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,6,KUNGU,3,IGULU,348,7,1,2,1,76,1,0,143,231,231,0,0,O-1-3-1-6-3
1,APAC,3,MARUZI COUNTY,1,AKOKORO,6,KUNGU,4,KUNGU P.7 SCHOOL B,638,2,5,6,2,201,4,2,186,449,408,41,0,O-1-3-1-6-4
1,APAC,3,MARUZI COUNTY,1,AKOKORO,24,ALARO,1,WANSOLO FISHING CAMP,434,8,1,4,0,178,1,2,67,276,261,15,0,O-1-3-1-24-1
1,APAC,3,MARUZI COUNTY,1,AKOKORO,24,ALARO,2,ALARO P.7 SCHOOL A,595,7,7,12,4,143,0,2,192,372,367,5,0,O-1-3-1-24-2
1,APAC,3,MARUZI COUNTY,1,AKOKORO,24,ALARO,3,BAROKWORO P.7 SCHOOL,639,10,13,15,4,155,4,5,201,407,407,0,0,O-1-3-1-24-3
1,APAC,3,MARUZI COUNTY,1,AKOKORO,24,ALARO,4,CORNER BALE,199,10,1,11,1,62,0,1,32,145,118,27,0,O-1-3-1-24-4
