Dist_no_2011,Dist_name_2011,Const_no,Const_name_2011,Sbty_no,Sbty_name,Par_no,Par_name,Stn_no,Station_string_2011,Reg.Voters,A.Bwanika,K.Besigye.K,B.O.K.Namisango,B.S.Jaberi,M.Norbert,O.Otunnu,S.L.M.Walter,Y.K.Museveni,T.Votes,V.Votes,Inv.Votes,V.Spoilt,NULLIFIED,NON_REP,Original_Station_ID_2011
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,026,ARIDAI,01,LOTUKEI P/S,660,0,8,2,0,1,1,1,360,389,373,16,0,0,0,O-70-95-3-26-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,007,AWACH,01,AWACH PRIMARY SCHOOL,712,8,19,3,1,6,2,6,432,486,477,9,0,0,0,O-70-95-3-7-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,024,BARLYECH,01,OTHEN,214,3,5,0,3,0,3,1,152,175,167,8,0,0,0,O-70-95-3-24-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,027,GANGMING,01,GANGMING,431,0,16,0,1,8,1,0,296,328,322,6,0,0,0,O-70-95-3-27-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,028,GOTAPWOU,01,GOTAPWOU P/S,416,1,6,0,0,1,1,0,263,282,272,10,0,0,0,O-70-95-3-28-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,018,OPOROTH,01,BAR ? OTUKE,135,0,0,0,0,1,1,3,71,79,76,3,0,0,0,O-70-95-3-18-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,018,OPOROTH,02,AWACH HEALTH CENTRE II,789,1,31,2,3,13,4,0,375,462,429,33,0,0,0,O-70-95-3-18-2
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,008,ORWAMUGE,01,ORWAMUGE PRI. SCH.,606,1,14,1,0,5,2,2,360,387,385,2,1,0,0,O-70-95-3-8-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,008,ORWAMUGE,02,NYIKINYIKI,286,1,9,0,1,4,1,1,137,163,154,9,0,0,0,O-70-95-3-8-2
070,ABIM,095,LABWOR COUNTY,04,MORULEM,010,ADEA,01,ADEA PRIMARY SCHOOL,389,0,12,2,1,0,1,0,283,315,299,16,0,0,0,O-70-95-4-10-1
070,ABIM,095,LABWOR COUNTY,04,MORULEM,030,AKWANGAGW EL,01,AKWANGAGW EL,359,0,10,0,0,5,3,0,244,265,262,3,1,0,0,O-70-95-4-30-1
070,ABIM,095,LABWOR COUNTY,04,MORULEM,009,ANGOLEBWAL,01,OBOLOKOME PRI. SCH.,444,4,18,2,1,1,0,0,285,356,311,45,0,0,0,O-70-95-4-9-1
070,ABIM,095,LABWOR COUNTY,04,MORULEM,009,ANGOLEBWAL,02,OBANGANGEO,400,1,25,3,5,3,0,2,234,282,273,9,0,0,0,O-70-95-4-9-2
070,ABIM,095,LABWOR COUNTY,04,MORULEM,015,AREMO,01,MORULEM BOYS I,730,0,71,0,0,4,0,1,591,687,667,20,0,0,0,O-70-95-4-15-1
070,ABIM,095,LABWOR COUNTY,04,MORULEM,015,AREMO,02,OKONYOKECH,720,0,91,3,0,7,3,1,512,650,617,33,0,0,0,O-70-95-4-15-2
070,ABIM,095,LABWOR COUNTY,04,MORULEM,015,AREMO,03,LOBOLWALA,446,1,44,2,1,0,0,1,324,385,373,12,0,0,0,O-70-95-4-15-3
070,ABIM,095,LABWOR COUNTY,04,MORULEM,011,KATABOK EAST,01,KATABOK T/C,788,1,65,1,1,4,5,6,389,490,472,18,0,0,0,O-70-95-4-11-1
070,ABIM,095,LABWOR COUNTY,04,MORULEM,011,KATABOK EAST,02,GULONGER PRI. SCH.,367,1,14,1,1,1,0,1,260,289,279,10,0,0,0,O-70-95-4-11-2
070,ABIM,095,LABWOR COUNTY,04,MORULEM,029,KATABOK WEST,01,RACKOKO PRI.SCH,773,1,32,1,0,0,2,2,505,559,543,16,0,0,0,O-70-95-4-29-1
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,031,KOBULIN,01,KOBULIN,186,0,14,0,1,0,1,0,146,166,162,4,0,0,0,O-70-95-5-31-1
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,014,OPOPONGO,01,KATALA PRI. SCH.,230,4,2,2,0,1,0,1,135,157,145,12,0,0,0,O-70-95-5-14-1
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,014,OPOPONGO,02,OPOPONGO PRI. SCHOOL,492,1,11,1,1,0,1,0,399,416,414,2,0,0,0,O-70-95-5-14-2
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,012,ORETHA,01,ORETA PRIMARY SCHOOL,632,1,15,0,0,2,1,0,356,378,375,3,1,0,0,O-70-95-5-12-1
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,012,ORETHA,02,TYEN ALERA,278,1,2,0,0,0,0,0,206,212,209,3,0,0,0,O-70-95-5-12-2
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,020,PUPUKAMUYA,01,ATHEDER,484,1,18,0,0,0,1,0,351,377,371,6,1,0,0,O-70-95-5-20-1
070,ABIM,095,LABWOR COUNTY,05,NYAKWAE,013,ROGOM,01,SUB?COUNTY HQRS,813,0,7,1,0,0,2,2,665,688,677,11,0,0,0,O-70-95-5-13-1
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,015,BIYAYA WARD,01,BIYAYA PRI. SCHOOL,815,2,111,0,0,10,0,0,243,402,366,36,0,0,0,O-40-151-1-15-1
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,015,BIYAYA WARD,02,TOWN HALL,295,0,61,0,0,3,2,0,51,120,117,3,0,0,0,O-40-151-1-15-2
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,015,BIYAYA WARD,03,ADJUMANI MOSQUE,364,0,31,0,0,1,0,0,171,203,203,0,0,0,0,O-40-151-1-15-3
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,015,BIYAYA WARD,04,BOMA GROUND,738,1,184,0,0,1,3,0,185,415,374,41,0,0,0,O-40-151-1-15-4
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,015,BIYAYA WARD,05,BIYAYA SEC. SCHOOL,392,0,82,1,0,4,1,0,114,221,202,19,0,0,0,O-40-151-1-15-5
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,015,BIYAYA WARD,06,MIVUULE SHADE,660,1,145,0,0,5,1,1,165,326,318,8,0,0,0,O-40-151-1-15-6
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,07,OLD HOSPITAL FORUA,697,1,160,0,0,5,3,0,192,379,361,18,0,0,0,O-40-151-1-16-7
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,08,MAYOR'S GARDEN ? EAST,831,1,127,4,0,8,1,0,182,335,323,12,0,0,0,O-40-151-1-16-8
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,09,MAYOR'S GARDEN ? WEST,550,1,81,0,0,8,2,0,108,214,200,14,1,0,0,O-40-151-1-16-9
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,10,ADJUMANI MODEL SS ? MULUKPWOD A,485,2,86,1,0,2,0,0,117,235,208,27,2,0,0,O-40-151-1-16-10
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,11,MGBERE ? ADJUMANI DISTRICT HQTS,338,2,90,0,0,0,0,1,110,212,203,9,0,0,0,O-40-151-1-16-11
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,12,CENTRAL PRIMARY SCHOOL (A?L),841,0,153,0,0,5,0,0,217,381,375,6,1,0,0,O-40-151-1-16-12
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,016,CENTRAL WARD,13,CENTRAL PRIMARY SCHOOL (M?Z),412,1,72,1,0,4,2,0,111,193,191,2,0,0,0,O-40-151-1-16-13
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,05,COMBONI COLLEGE A ? LAJOPI CESIA,958,1,269,2,0,2,2,1,235,541,512,29,0,0,0,O-40-151-1-17-5
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,06,OLIGO PR. SCH.  ? PAKONDO,573,4,93,3,0,3,2,1,243,376,349,27,0,0,0,O-40-151-1-17-6
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,07,COMBONI COLLEGE B ? LAJOPI GINNE,365,0,83,0,0,1,0,1,86,183,171,12,1,0,0,O-40-151-1-17-7
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,08,CESIA PRI. SCH. ? PAVURAGA,651,1,190,1,0,3,2,1,186,395,384,11,0,0,0,O-40-151-1-17-8
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,09,ADJUMANI GIRLS PR. SCH. ? PATUA,830,2,170,1,0,6,1,0,185,401,365,36,1,0,0,O-40-151-1-17-9
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,10,PARIDI STADIUM ? PARIDI,332,1,90,1,0,5,1,2,98,220,198,22,0,0,0,O-40-151-1-17-10
040,ADJUMANI,151,EAST MOYO COUNTY,01,ADJUMANI TOWN COUNCIL,017,CESIA WARD,11,MUKUJO ? MOCOPE,225,0,50,0,0,3,0,0,86,148,139,9,1,0,0,O-40-151-1-17-11
040,ADJUMANI,151,EAST MOYO COUNTY,02,ADROPI,020,ESIA,03,OYUWI PRIMARY SCHOOL,928,5,98,2,0,1,2,11,415,581,534,47,1,0,0,O-40-151-2-20-3
040,ADJUMANI,151,EAST MOYO COUNTY,02,ADROPI,001,LAJOPI,01,LAJOPI PARISH CENTRE,764,5,163,2,0,4,2,0,222,413,398,15,0,0,0,O-40-151-2-1-1
040,ADJUMANI,151,EAST MOYO COUNTY,02,ADROPI,049,OBILOKONG,01,OBILOKONG,643,5,36,3,0,3,1,2,348,420,398,22,1,0,0,O-40-151-2-49-1
040,ADJUMANI,151,EAST MOYO COUNTY,02,ADROPI,003,OPENZINZI,02,OPENZINZI PRISON,332,1,56,2,0,3,0,0,134,205,196,9,0,0,0,O-40-151-2-3-2
040,ADJUMANI,151,EAST MOYO COUNTY,02,ADROPI,003,OPENZINZI,04,OPENZINZI PRIMARY SCHOOL,681,4,103,1,0,8,6,5,265,410,392,18,1,0,0,O-40-151-2-3-4
040,ADJUMANI,151,EAST MOYO COUNTY,02,ADROPI,037,PALEMO,01,KOZEIZA CENTRE,989,3,206,3,0,4,5,2,319,600,542,58,0,0,0,O-40-151-2-37-1
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,045,ARASI,01,ST. PAUL CATHOLIC CHURCH,532,11,75,1,2,3,1,3,210,330,306,24,1,0,0,O-40-151-7-45-1
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,025,ELEGU,01,ELEGU HEALTH CENTRE,335,3,21,2,0,1,1,0,170,216,198,18,2,0,0,O-40-151-7-25-1
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,039,ITUJI,01,TOASI,337,1,36,1,0,2,0,1,143,203,184,19,0,0,0,O-40-151-7-39-1
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,039,ITUJI,02,MADULU,368,3,66,1,1,0,1,1,133,226,206,20,0,0,0,O-40-151-7-39-2
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,039,ITUJI,40,ARINYAPI DISPENSARY,128,0,3,0,0,0,0,0,6,18,9,9,0,0,0,O-40-151-7-39-40
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,026,LIRI,01,ETIA PRIMARY SCHOOL,278,1,25,0,0,0,0,0,160,198,186,12,0,0,0,O-40-151-7-26-1
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,026,LIRI,02,OGOLO PRIMARY SCH.,366,4,136,1,1,4,2,2,104,263,254,9,4,0,0,O-40-151-7-26-2
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,026,LIRI,03,PAMAJUA LANDING BAY,192,1,12,1,0,1,0,0,105,129,120,9,0,0,0,O-40-151-7-26-3
040,ADJUMANI,151,EAST MOYO COUNTY,07,ARINYAPI,008,ZINYINI,01,GWERE PRI. SCH.,509,1,42,0,1,2,5,1,254,318,306,12,0,0,0,O-40-151-7-8-1
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,044,AGOJO,01,DUBA,318,2,34,0,1,0,0,0,134,182,171,11,0,0,0,O-40-151-3-44-1
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,044,AGOJO,02,AGOJO PRIMARY SCHOOL,132,0,14,0,0,0,0,0,61,83,75,8,0,0,0,O-40-151-3-44-2
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,004,LOA,01,UMWIA PRIMARY SCHOOL,617,9,69,0,0,4,0,3,297,420,382,38,0,0,0,O-40-151-3-4-1
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,004,LOA,02,CIFORO HEALTH CENTRE,228,1,23,0,0,1,0,1,121,150,147,3,0,0,0,O-40-151-3-4-2
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,004,LOA,04,LOA PRIMARY SCHOOL,593,0,55,0,2,2,0,0,207,376,266,110,0,0,0,O-40-151-3-4-4
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,005,MUGI,01,ONIGO CENTRE,526,2,70,0,2,0,0,1,246,381,321,60,1,0,0,O-40-151-3-5-1
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,005,MUGI,02,CIFORO MARKET,336,1,62,3,1,3,0,0,129,212,199,13,0,0,0,O-40-151-3-5-2
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,005,MUGI,04,MOCOPE CENTRE,530,0,85,0,2,3,2,1,239,356,332,24,1,0,0,O-40-151-3-5-4
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,006,OKANGALI,01,OGBORO CENTRE,385,0,26,2,1,0,2,3,193,239,227,12,0,0,0,O-40-151-3-6-1
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,006,OKANGALI,02,OKANGALI PR SCH,614,4,82,2,4,1,1,0,287,405,381,24,0,0,0,O-40-151-3-6-2
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,006,OKANGALI,03,PANYAWE CENTRE,455,5,49,4,2,1,0,3,213,294,277,17,0,0,0,O-40-151-3-6-3
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,021,OPEJO,02,DUBAJU PRIMARY SCHOOL,665,1,130,3,4,1,1,0,324,503,464,39,0,0,0,O-40-151-3-21-2
040,ADJUMANI,151,EAST MOYO COUNTY,03,CIFORO,021,OPEJO,03,ERAJI ? AGALI,229,1,47,0,2,0,1,0,88,163,139,24,1,0,0,O-40-151-3-21-3
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,043,ADIDI,01,MARINDI BOREHOLE,663,5,92,2,3,2,1,6,231,403,342,61,0,0,0,O-40-151-4-43-1
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,043,ADIDI,02,OLIKWI,373,5,38,4,0,1,0,3,187,254,238,16,0,0,0,O-40-151-4-43-2
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,007,AJUGOPI,01,MEIACIKU YOUTH CENTRE,901,7,90,1,5,3,3,3,472,602,584,18,0,0,0,O-40-151-4-7-1
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,007,AJUGOPI,02,NYUMAZI PRIMARY SCHOOL,283,0,46,1,2,0,0,0,146,204,195,9,0,0,0,O-40-151-4-7-2
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,007,AJUGOPI,05,JURUMINI PRI. SCH.,685,7,76,1,2,3,1,2,257,381,349,32,1,0,0,O-40-151-4-7-5
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,027,LOGOANGWA,02,BARI BOREHOLE,711,9,157,3,3,2,4,0,262,472,440,32,0,0,0,O-40-151-4-27-2
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,027,LOGOANGWA,04,LOGOANGWA HILL,597,2,129,0,0,8,1,0,157,313,297,16,0,0,0,O-40-151-4-27-4
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,009,MGBERE,02,DZAIPI PRIMARY SCHOOL,320,0,41,1,0,2,0,1,81,130,126,4,0,0,0,O-40-151-4-9-2
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,009,MGBERE,03,DZAIPI SUB? CTY HQTRS (A? G),374,1,56,0,0,4,1,1,114,189,177,12,0,0,0,O-40-151-4-9-3
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,009,MGBERE,04,DZAIPI SUB? CTY HQTRS (H? Z),405,0,62,0,1,4,2,1,125,210,195,15,1,0,0,O-40-151-4-9-4
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,009,MGBERE,05,LEIYA BOREHOLE,336,3,60,0,0,4,1,2,159,247,229,18,1,0,0,O-40-151-4-9-5
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,024,MINIKI,03,MINIKI PRIMARY SCHOOL,734,6,77,8,2,1,3,0,307,434,404,30,0,0,0,O-40-151-4-24-3
040,ADJUMANI,151,EAST MOYO COUNTY,04,DZAIPI,024,MINIKI,04,MINIKI CATHOLIC CHURCH,594,4,94,3,3,3,3,3,240,376,353,23,23,0,0,O-40-151-4-24-4
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,046,BARATUKU,01,BARATUKU PARISH CENTRE,230,3,39,1,0,2,0,0,133,192,178,14,0,0,0,O-40-151-8-46-1
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,010,ITIRIKWA,01,ITIRIKWA SUB? COUNTY HEADQUARTE RS,361,4,78,6,0,0,0,3,135,229,226,3,2,0,0,O-40-151-8-10-1
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,048,KOLIDIDI,01,KOLIDIDI MANGO TREE,645,3,64,0,0,2,0,3,315,412,387,25,0,0,0,O-40-151-8-48-1
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,051,MUNGULA,01,MUNGULA HEALTH CENTRE,296,1,24,1,0,2,0,2,79,120,109,11,1,0,0,O-40-151-8-51-1
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,051,MUNGULA,03,PAWKINYA,445,5,57,1,0,1,0,2,139,227,205,22,1,0,0,O-40-151-8-51-3
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,051,MUNGULA,04,MUNGULA SECONDARY SCHOOL,291,5,21,2,0,1,1,0,91,133,121,12,0,0,0,O-40-151-8-51-4
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,012,ODU,01,ODU PRIMARY SCHOOL,714,6,173,3,0,3,2,3,185,403,375,28,0,0,0,O-40-151-8-12-1
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,012,ODU,02,AGALEJO ? KWOMA MANGO TREE,453,4,64,1,0,1,1,5,182,298,258,40,1,0,0,O-40-151-8-12-2
040,ADJUMANI,151,EAST MOYO COUNTY,08,ITIRIKWA,028,ZOKA,01,ZOKA P SCH,534,2,41,1,0,1,1,1,223,300,270,30,4,0,0,O-40-151-8-28-1
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,011,BACERE,01,KUREKU PR SCH,611,3,104,1,0,5,11,0,208,353,332,21,0,0,0,O-40-151-5-11-1
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,011,BACERE,02,OFUA SECONDARY SCHOOL,621,6,76,4,1,4,3,1,294,418,389,29,2,0,0,O-40-151-5-11-2
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,054,ILINYI,01,MIRIEYI COTON STORE,630,2,95,7,2,9,3,3,245,405,366,39,2,0,0,O-40-151-5-54-1
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,040,OFUA CENTRAL,01,OFUA MARKET,399,5,48,3,1,0,0,2,139,214,198,16,1,0,0,O-40-151-5-40-1
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,040,OFUA CENTRAL,02,OFUA SUBCOUNTY HEADQUARTE R,281,2,24,1,1,0,0,4,144,186,176,10,0,0,0,O-40-151-5-40-2
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,040,OFUA CENTRAL,03,OFUA CENTRAL PRIMARY SCHOOL,567,4,84,1,0,4,1,0,243,357,337,20,1,0,0,O-40-151-5-40-3
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,050,OPI,01,OPI MANGO TREE,313,1,45,0,0,3,0,0,132,232,181,51,2,0,0,O-40-151-5-50-1
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,029,SUBBE,01,KUREKU WEST MANGO TREE,231,1,37,1,0,0,1,0,113,187,153,34,0,0,0,O-40-151-5-29-1
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,029,SUBBE,02,SUBBE PRI SCHOOL,268,4,62,4,0,1,1,0,105,189,177,12,1,0,0,O-40-151-5-29-2
040,ADJUMANI,151,EAST MOYO COUNTY,05,OFUA,030,TIANYU,04,TIANYU MANGO TREE,844,4,220,4,1,7,5,5,256,532,502,30,0,0,0,O-40-151-5-30-4
040,ADJUMANI,151,EAST MOYO COUNTY,09,PACHARA,036,ALERE,01,ROBIDIRE PRIMARY SCHOOL,791,8,87,0,1,0,1,0,358,484,455,29,2,0,0,O-40-151-9-36-1
